character,action,frame,hitbox_1_status,hitbox_1_size,hitbox_1_x,hitbox_1_y,hitbox_2_status,hitbox_2_size,hitbox_2_x,hitbox_2_y,hitbox_3_status,hitbox_3_size,hitbox_3_x,hitbox_3_y,hitbox_4_status,hitbox_4_size,hitbox_4_x,hitbox_4_y,locomotion_x,locomotion_y,iasa,facing_changed,projectile
10,214,1,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,1.6411991119384766,0.0,False,False,False
10,214,2,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,1.5611991882324219,0.0,False,False,False
10,214,3,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,1.4811992645263672,0.0,False,False,False
10,214,4,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,1.4011993408203125,0.0,False,False,False
10,214,5,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,1.3211994171142578,0.0,False,False,False
10,214,6,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,1.2411994934082031,0.0,False,False,False
10,214,7,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,1.1611990928649902,0.0,False,False,False
10,214,8,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,1.0811991691589355,0.0,False,False,False
10,214,9,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,1.0011992454528809,0.0,False,False,False
10,214,10,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.9211990833282471,0.0,False,False,False
10,214,11,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.8411991596221924,0.0,False,False,False
10,221,1,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,2,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,4,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,5,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,6,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,8,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,9,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,10,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,11,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,13,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,14,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,15,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,17,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,18,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,True
10,221,20,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,21,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,22,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,24,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,25,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,26,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,28,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,29,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,30,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,32,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,33,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,34,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,36,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,37,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,221,38,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,14,1,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,14,2,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,14,3,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,14,4,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,14,5,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,14,6,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,-0.0,0.0,False,False,False
10,50,1,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,1.5848658084869385,0.0,False,False,False
10,50,2,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,2.1404662132263184,0.0,False,False,False
10,50,3,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,2.147409439086914,0.0,False,False,False
10,50,4,True,3.8278799057006836,9.8338623046875,7.160884992983483,True,3.8278799057006836,5.370233535766602,7.486658232119225,False,0,0,0,False,0,0,0,1.6056957244873047,0.0,False,False,False
10,50,5,True,3.8278799057006836,9.201927185058594,7.229601519014977,True,3.8278799057006836,5.113542556762695,7.5574284957911,False,0,0,0,False,0,0,0,1.1238212585449219,0.0,False,False,False
10,50,6,True,3.8278799057006836,8.561771392822266,7.246505873110436,True,3.8278799057006836,4.850687026977539,7.5735465454126825,False,0,0,0,False,0,0,0,1.0720691680908203,0.0,False,False,False
10,50,7,True,3.8278799057006836,8.597343444824219,7.178368227389001,True,3.8278799057006836,4.894321441650391,7.53198494186654,False,0,0,0,False,0,0,0,0.7270870208740234,0.0,False,False,False
10,50,8,True,2.7342000007629395,7.901488304138184,7.168591635134362,True,2.7342000007629395,4.946599006652832,7.4706107543970575,False,0,0,0,False,0,0,0,0.6888723373413086,0.0,False,False,False
10,50,9,True,2.7342000007629395,7.954716682434082,7.073704855349206,True,2.7342000007629395,5.007718086242676,7.394671575930261,False,0,0,0,False,0,0,0,1.2574291229248047,0.0,False,False,False
10,50,10,True,2.7342000007629395,8.015071868896484,6.96335758438363,True,2.7342000007629395,5.075410842895508,7.305147306826257,False,0,0,0,False,0,0,0,1.232752799987793,0.0,False,False,False
10,50,11,True,2.7342000007629395,8.080451965332031,6.837344782259606,True,2.7342000007629395,5.146467208862305,7.202504293825768,False,0,0,0,False,0,0,0,0.9148445129394531,0.0,False,False,False
